name,handle,root_category_name,second_category_name,third_category_name,website,metadata,rank,ispopular
Coco & Eve,coco-eve,Beauty,Skin Care,Body,,,,
Aiyorse,aiyorse,Beauty,Makeup,Makeup Palettes,,,,
Glutanex,glutanex,Beauty,Skin Care,Face,,,,
Hauojaus,hauojaus,Beauty,Hair Care,Hair Cutting Tools,,,,
Stacool,stacool,Electronics,Car & Vehicle Electronics,Vehicle GPS,,,,
Techkey,techkey,Electronics,Computers & Accessories,Networking Products,,,,
DENTTACH,denttach,Beauty,Oral Care,Denture Care,,,,
Aster,aster,Beauty,Personal Care,Piercing & Tattoo Supplies,,,,
HEARTIT,heartit,Beauty,Hair Care,Hair Coloring Products,,,,
ACUMEN,acumen,Electronics,Car & Vehicle Electronics,Car Electronics,,,,
Aswewamt,aswewamt,Beauty,Shave & Hair Removal,Women's,,,,
MIG4U,mig4u,Beauty,"Foot, Hand & Nail Care",Foot & Hand Care,,,,
VITMOORY,vitmoory,Beauty,Hair Care,Styling Tools & Appliances,,,,
PandaShield,pandashield,Electronics,eBook Readers & Accessories,Screen Protectors,,,,
theBalm,thebalm,Beauty,Skin Care,Face,,,,
lilybyred,lilybyred,Beauty,Makeup,Lips,,,,
Rercarre,rercarre,Beauty,"Foot, Hand & Nail Care",Nail Care,,,,
The Honest Company,the-honest-company,Beauty,Skin Care,Maternity,,,,
REVLON,revlon,Beauty,Skin Care,Lip Care,revlon.com,,,1
ASA,asa,Electronics,Car & Vehicle Electronics,Aviation Electronics,,,,
V&CO,v-co,Beauty,Hair Care,Shampoo & Conditioner,,,,
ShowOffs Body Art,showoffs-body-art,Beauty,Makeup,Body,,,,
KECUCO,kecuco,Beauty,Personal Care,Bath & Bathing Accessories,,,,
FELICON,felicon,Electronics,Accessories & Supplies,Computer Accessories,,,,
Tengchi,tengchi,Electronics,Accessories & Supplies,Television Accessories,,,,
Philips Sonicare,philips-sonicare,Beauty,Oral Care,Dental Floss & Picks,,,,
NYX PROFESSIONAL MAKEUP,nyx-professional-makeup,Beauty,Makeup,Eyes,nyxcosmetics.com,,,1
Favorict,favorict,Beauty,Shave & Hair Removal,Men's,,,,
Poshe,poshe,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
Shaver Aid,shaver-aid,Beauty,Shave & Hair Removal,Men's,,,,
ARCSTILL,arcstill,Electronics,Accessories & Supplies,Computer Accessories,,,,
RNVEASS,rnveass,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
Jack Black,jack-black,Beauty,Skin Care,Lip Care,,,,
Siveit,siveit,Electronics,Accessories & Supplies,Audio & Video Accessories,,,,
RUGLAMZHIP,ruglamzhip,Electronics,Accessories & Supplies,Cord Management,,,,
DeEnti,deenti,Beauty,"Foot, Hand & Nail Care",Tools & Accessories,,,,
R+Co,r-co,Beauty,Hair Care,Hair Masks,,,,
HAWINK,hawink,Beauty,Personal Care,Piercing & Tattoo Supplies,,,,
MORELECS,morelecs,Electronics,Accessories & Supplies,Cables,,,,
MeLE,mele,Electronics,Computers & Accessories,Computers & Tablets,,,,
South Of France,south-of-france,Beauty,"Foot, Hand & Nail Care",Foot & Hand Care,,,,
ANKHOH,ankhoh,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
IMAGE Skincare,image-skincare,Beauty,Skin Care,Face,,,,
Licoseam,licoseam,Beauty,Hair Care,Styling Tools & Appliances,,,,
Snpurdiri,snpurdiri,Electronics,Accessories & Supplies,Computer Accessories,,,,
Generic,generic,Beauty,Makeup,Makeup Remover,,,,
Mudder,mudder,Beauty,Shave & Hair Removal,Women's,,,,
Equinox International,equinox-international,Beauty,Hair Care,Hair Cutting Tools,,,,
SORMÉ,sorm-,Beauty,Makeup,Lips,,,,
InstallGear,installgear,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
KUGEW,kugew,Electronics,Cell Phones & Accessories,"Cases, Holsters & Clips",,,,
YETLEBOX,yetlebox,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
KLIM,klim,Electronics,Accessories & Supplies,Computer Accessories,,,,
Ipetboom,ipetboom,Beauty,Shave & Hair Removal,Women's,,,,
LAMEIZ,lameiz,Beauty,Oral Care,Dental Floss & Picks,,,,
T.TAOMI,t-taomi,Electronics,Portable Audio & Video,Radios,,,,
CourtStencil,courtstencil,Beauty,Hair Care,Hair Coloring Products,,,,
LyxPro,lyxpro,Electronics,Accessories & Supplies,Microphones,,,,
Crosseagle,crosseagle,Electronics,Portable Audio & Video,Digital Voice Recorders,,,,
Allies of Skin,allies-of-skin,Beauty,Skin Care,Sunscreens & Tanning Products,,,,
Chemailon,chemailon,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
Panasonic,panasonic,Electronics,Accessories & Supplies,"Batteries, Chargers & Accessories",panasonic.com,,,
QRxLabs,qrxlabs,Beauty,Skin Care,Face,,,,
LONDONTOWN,londontown,Beauty,"Foot, Hand & Nail Care",Tools & Accessories,,,,
3zorqinron,3zorqinron,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
YHFGTTIO,yhfgttio,Beauty,Skin Care,Face,,,,
XHUCHINMAL,xhuchinmal,Electronics,Accessories & Supplies,"Batteries, Chargers & Accessories",,,,
Rose bud,rose-bud,Beauty,Hair Care,"Extensions, Wigs & Accessories",,,,
ZYBER,zyber,Electronics,Wearable Technology,Accessories,,,,
LoveBB,lovebb,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
YMCRLUX,ymcrlux,Electronics,Accessories & Supplies,Cord Management,,,,
ARRIS,arris,Electronics,Computers & Accessories,Networking Products,arris.com,,,
Vanfa,vanfa,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
LAIKOU,laikou,Beauty,Skin Care,Sets & Kits,,,,
Explore Scientific,explore-scientific,Electronics,Camera & Photo,Binoculars & Scopes,,,,
Vzesavc,vzesavc,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
MOSISO,mosiso,Electronics,Accessories & Supplies,Computer Accessories,,,,
QXA,qxa,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
CAN-MEAGEREN,can-meageren,Electronics,Accessories & Supplies,Computer Accessories,,,,
The Pultool,the-pultool,Beauty,Oral Care,Denture Care,,,,
Strpump,strpump,Electronics,Car & Vehicle Electronics,Car Electronics,,,,
OSTENT,ostent,Electronics,Video Game Consoles & Accessories,Xbox 360,,,,
Sunicon,sunicon,Beauty,Shave & Hair Removal,Women's,,,,
Electrohome,electrohome,Electronics,Home Audio,Speakers,,,,
MAGNAVOX,magnavox,Electronics,Television & Video,DVD Players & Recorders,magnavox.com,,,
LAJCAEN,lajcaen,Beauty,Shave & Hair Removal,Women's,,,,
HORI,hori,Electronics,Video Game Consoles & Accessories,Wii,,,,
Mugler,mugler,Beauty,Fragrance,Women's,,,,
SUNMON,sunmon,Electronics,Accessories & Supplies,Microphones,,,,
Psalmonica,psalmonica,Beauty,Hair Care,Hair Loss Products,,,,
SFOPORD,sfopord,Beauty,"Foot, Hand & Nail Care",Foot & Hand Care,,,,
Herbal Essences,herbal-essences,Beauty,Hair Care,Styling Products,,,,
LU2000,lu2000,Electronics,Accessories & Supplies,Computer Accessories,,,,
ATTITUDE,attitude,Beauty,Skin Care,Body,,,,
Frida Mom,frida-mom,Beauty,Skin Care,Maternity,,,,
depology,depology,Beauty,Skin Care,Face,,,,
SubSahara,subsahara,Beauty,Personal Care,Bath & Bathing Accessories,,,,
MARLOWE.,marlowe-,Beauty,Skin Care,Face,,,,
SPGUARD,spguard,Electronics,Wearable Technology,Accessories,,,,
AJP,ajp,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
Red Heart,red-heart,Electronics,Computers & Accessories,Computers & Tablets,,,,
OneLeaf,oneleaf,Electronics,Accessories & Supplies,Cord Management,,,,
Oben,oben,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
CUCESH,cucesh,Electronics,Accessories & Supplies,Telephone Accessories,,,,
BLACK GIRL SUNSCREEN,black-girl-sunscreen,Beauty,Skin Care,Sunscreens & Tanning Products,,,,
Ark Lighting,ark-lighting,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
Auphonix,auphonix,Electronics,Accessories & Supplies,Microphones,,,,
BODY & EARTH,body-earth,Beauty,Skin Care,Body,,,,
TOOLETRIES,tooletries,Beauty,Personal Care,Bath & Bathing Accessories,,,,
Sony,sony,Electronics,Accessories & Supplies,Camera & Photo Accessories,sony.com,,,
The Ayurveda Experience,the-ayurveda-experience,Beauty,Skin Care,Face,,,,
BTDCVS,btdcvs,Electronics,Accessories & Supplies,Cables,,,,
The Grandpa Soap Company,the-grandpa-soap-company,Beauty,Skin Care,Body,,,,
Belkin,belkin,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,belkin.com,,,
BLADE PRO,blade-pro,Beauty,Shave & Hair Removal,Men's,,,,
Unilever,unilever,Beauty,"Foot, Hand & Nail Care",Foot & Hand Care,,,,
philosophy,philosophy,Beauty,Skin Care,Body,,,,
CALA,cala,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
MIILYE BEAUTY,miilye-beauty,Beauty,Hair Care,"Extensions, Wigs & Accessories",,,,
Teyomi,teyomi,Electronics,Accessories & Supplies,Office Electronics Accessories,,,,
Easkep,easkep,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
HdtvHookup,hdtvhookup,Electronics,Accessories & Supplies,Television Accessories,,,,
sourcing map,sourcing-map,Electronics,Accessories & Supplies,Audio & Video Accessories,,,,
COSULAN,cosulan,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
JAETON,jaeton,Beauty,Hair Care,Styling Tools & Appliances,,,,
JOHNNY B.,johnny-b-,Beauty,Hair Care,Styling Products,,,,
NovelGoal,novelgoal,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
Bydezcon,bydezcon,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
GANDASHI,gandashi,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
Epsoak,epsoak,Beauty,Personal Care,Bath & Bathing Accessories,,,,
PRETYZOOM,pretyzoom,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
Somime,somime,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
Clarins,clarins,Beauty,Skin Care,Sunscreens & Tanning Products,clarins.com,,,1
A|K|И Cosmetix,a-k-cosmetix,Beauty,Makeup,Eyes,,,,
EWA,ewa,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
HVMLAK,hvmlak,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
Perfumer's Workshop,perfumer-s-workshop,Beauty,Fragrance,Women's,,,,
ABUSVEX,abusvex,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
GELLEN,gellen,Beauty,"Foot, Hand & Nail Care",Nail Art & Polish,,,,
TOPESEL,topesel,Electronics,Accessories & Supplies,Camera & Photo Accessories,,,,
BPrettier,bprettier,Beauty,"Foot, Hand & Nail Care",Tools & Accessories,,,,
GuruNanda,gurunanda,Beauty,Oral Care,Teeth Whitening,,,,
Xzrucst,xzrucst,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
KING,king,Electronics,Accessories & Supplies,Cell Phone Accessories,,,,
TRESemmé,tresemm-,Beauty,Hair Care,Hair Coloring Products,,,,
Tamron,tamron,Electronics,Camera & Photo,Lenses,tamron.com,,,1
ARTDECO,artdeco,Beauty,Makeup,Eyes,,,,
Latika,latika,Beauty,Personal Care,Bath & Bathing Accessories,,,,
fafortune,fafortune,Beauty,Shave & Hair Removal,Women's,,,,
PIIHUSW,piihusw,Electronics,Accessories & Supplies,Cables,,,,
Eynshoo,eynshoo,Electronics,Wearable Technology,Glasses,,,,
ConnBull,connbull,Electronics,Accessories & Supplies,Computer Accessories,,,,
Bivisen,bivisen,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
IMC Audio,imc-audio,Electronics,Accessories & Supplies,Vehicle Electronics Accessories,,,,
Skar Audio,skar-audio,Electronics,Accessories & Supplies,Audio & Video Accessories,,,,
