"id","name","description","handle","mpath","is_active","is_internal","rank","parent_category_id","created_at","updated_at","deleted_at","metadata"
"pcat_01KE1PPB81J41E4DHBVBSK81D1","Electronics","","electronics","pcat_01KE1PPB81J41E4DHBVBSK81D1",True,False,0,NULL,"2026-01-03 10:33:17.826+00","2026-01-08 12:38:13.199+00",NULL,"{""original_id"": ""493964"", ""thumb_image"": ""/static/1767431911074--.webp"", ""banner_image"": ""/static/1767431911074--.webp"", ""original_path"": ""Electronics"", ""original_level"": 0}"
"pcat_01KEC4P2WST0HX1JQ8YQJT433B","Beauty","","beauty","pcat_01KEC4P2WST0HX1JQ8YQJT433B",True,False,1,NULL,"2026-01-07 11:50:13.657+00","2026-01-07 11:50:13.657+00",NULL,"{""original_id"": ""11055981"", ""original_path"": ""Beauty"", ""original_level"": 0}"
"pcat_01KEC4P6Q57NGC80BH634TZ2AA","Fragrance","","fragrance","pcat_01KEC4P2WST0HX1JQ8YQJT433B.pcat_01KEC4P6Q57NGC80BH634TZ2AA",True,False,1,"pcat_01KEC4P2WST0HX1JQ8YQJT433B","2026-01-07 11:50:17.573+00","2026-01-07 11:50:17.573+00",NULL,"{""original_id"": ""11056591"", ""original_path"": ""Beauty > Fragrance"", ""original_level"": 1}"
"pcat_01KEC4P70NA6X2ZMA4RWQZJN35","Cologne","","cologne","pcat_01KEC4P2WST0HX1JQ8YQJT433B.pcat_01KEC4P6Q57NGC80BH634TZ2AA.pcat_01KEC4P6X61TVGQEG32EYEVXQN.pcat_01KEC4P70NA6X2ZMA4RWQZJN35",True,False,1,"pcat_01KEC4P6X61TVGQEG32EYEVXQN","2026-01-07 11:50:17.877+00","2026-01-07 11:50:17.877+00",NULL,"{""original_id"": ""11059721"", ""original_path"": ""Beauty > Fragrance > Men's > Cologne"", ""original_level"": 3}"
"pcat_01KEC4P7TGMWGHKSNWNXAG0V9X","Hair Care","","hair-care","pcat_01KEC4P2WST0HX1JQ8YQJT433B.pcat_01KEC4P7TGMWGHKSNWNXAG0V9X",True,False,2,"pcat_01KEC4P2WST0HX1JQ8YQJT433B","2026-01-07 11:50:18.705+00","2026-01-07 11:50:18.705+00",NULL,"{""original_id"": ""11057241"", ""original_path"": ""Beauty > Hair Care"", ""original_level"": 1}"
"pcat_01KEC4P88A1RAB1K71BNSVN2KK","Hairpieces","","hairpieces","pcat_01KEC4P2WST0HX1JQ8YQJT433B.pcat_01KEC4P7TGMWGHKSNWNXAG0V9X.pcat_01KEC4P7XX5EX3636D400CRVC8.pcat_01KEC4P88A1RAB1K71BNSVN2KK",True,False,3,"pcat_01KEC4P7XX5EX3636D400CRVC8","2026-01-07 11:50:19.146+00","2026-01-07 11:50:19.146+00",NULL,"{""original_id"": ""702380011"", ""original_path"": ""Beauty > Personal Care > Hair Care > Extensions, Wigs & Accessories > Hairpieces"", ""original_level"": 3}"
"pcat_01KE1PPTDT79YQJF8GH8SQYJWV","Portable Line-In Speakers","","portable-line-in-speakers","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPT7XPM46DFJEDTS7R9GR.pcat_01KE1PPTDT79YQJF8GH8SQYJWV",True,False,2,"pcat_01KE1PPT7XPM46DFJEDTS7R9GR","2026-01-03 10:33:33.37+00","2026-01-03 10:33:33.37+00",NULL,"{""original_id"": ""9977446011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Portable Speakers & Audio Docks > Portable Line-In Speakers"", ""original_level"": 4}"
"pcat_01KE1PPTJNDFX67QJWPQ79MPDD","Phone Backs","","phone-backs","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPTG1Z71KAWYQPG5NGQSR.pcat_01KE1PPTJNDFX67QJWPQ79MPDD",True,False,0,"pcat_01KE1PPTG1Z71KAWYQPG5NGQSR","2026-01-03 10:33:33.526+00","2026-01-03 10:33:33.526+00",NULL,"{""original_id"": ""19633580011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Replacement Parts > Phone Backs"", ""original_level"": 4}"
"pcat_01KE1PPTMTAZZVTYY5X1VDTS61","Screens","","screens","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPTG1Z71KAWYQPG5NGQSR.pcat_01KE1PPTMTAZZVTYY5X1VDTS61",True,False,1,"pcat_01KE1PPTG1Z71KAWYQPG5NGQSR","2026-01-03 10:33:33.594+00","2026-01-03 10:33:33.594+00",NULL,"{""original_id"": ""19633579011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Replacement Parts > Screens"", ""original_level"": 4}"
"pcat_01KE1PPTPS3ZBHY892VQKKYG29","Screen Protectors","","screen-protectors","pcat_01KE1PPB81J41E4DHBVBSK81D1.pcat_01KE1PPBAB99K7X0G0J686QQYP.pcat_01KE1PPRXSNCQBHBTMSBZGBK71.pcat_01KE1PPTPS3ZBHY892VQKKYG29",True,False,11,"pcat_01KE1PPRXSNCQBHBTMSBZGBK71","2026-01-03 10:33:33.658+00","2026-01-03 10:33:33.658+00",NULL,"{""original_id"": ""2407781011"", ""original_path"": ""Electronics > Accessories & Supplies > Cell Phone Accessories > Screen Protectors"", ""original_level"": 3}"
